year,month,pickup_location_id,dropoff_location_id,p90_travel_time
2019,10,84,109,2419547
2019,10,109,1,2419330
2019,10,5,109,2419208
2019,10,84,221,2336611
2019,10,206,5,2336352
2019,10,109,206,2334985
2019,10,214,109,2334958
2019,10,109,6,2334809
2019,10,44,221,2334665
2019,10,221,5,2334622
2019,10,6,84,2334548
2019,10,109,23,2334502
2019,10,23,176,2334410
2019,10,84,115,2334404
2019,10,6,109,2334360
2019,10,118,176,2334295
2019,10,5,6,2334256
2019,10,172,44,2334249
2019,10,251,84,2334168
2019,10,115,5,2334127
2019,10,176,23,2333937
2019,10,5,115,2333846
2019,10,84,23,2333802
2019,10,251,172,2333748
2019,10,214,176,2333745
2019,10,214,156,2333726
2019,10,214,245,2333719
2019,10,176,118,2333628
2019,10,109,84,2333198
2019,10,204,84,2333016
2019,10,23,214,2332844
2019,10,214,23,2332820
2019,10,214,84,2332816
2019,10,5,206,2332816
2019,10,6,5,2250296
2019,10,214,44,2249958
2019,10,5,221,2249720
2019,10,84,6,2249308
2019,10,172,1,2249299
2019,10,204,214,2248763
2019,10,214,5,2248543
2019,10,44,109,2248504
2019,10,23,5,2248486
2019,10,44,206,2248451
2019,10,251,109,2248370
2019,10,84,44,2248366
2019,10,1,44,2248293
2019,10,187,214,2248102
2019,10,187,1,2248065
2019,10,1,84,2248065
2019,10,109,251,2248004
2019,10,5,23,2247976
2019,10,118,172,2247951
2019,10,204,1,2247891
2019,10,109,44,2247836
2019,10,23,172,2247654
2019,10,23,6,2247621
2019,10,23,44,2247585
2019,10,172,214,2247570
2019,10,44,118,2247498
2019,10,115,172,2247327
2019,10,5,84,2247236
2019,10,251,214,2247198
2019,10,44,204,2247151
2019,10,176,214,2247151
2019,10,204,44,2247140
2019,10,214,172,2247111
2019,10,44,84,2247099
2019,10,251,6,2247006
2019,10,23,156,2246971
2019,10,23,251,2246966
2019,10,118,251,2246932
2019,10,118,156,2246878
2019,10,176,176,2246812
2019,10,118,204,2246788
2019,10,204,204,2246688
2019,10,176,251,2246650
2019,10,172,172,2246584
2019,6,227,11,2228746
2019,10,94,258,2174640
2019,10,5,1,2163483
2019,10,84,251,2162804
2019,10,118,221,2162633
2019,10,172,206,2162270
2019,10,245,5,2162257
2019,10,5,245,2161934
2019,10,221,44,2161843
2019,10,1,204,2161528
2019,10,156,214,2161429
2019,10,214,118,2161349
2019,10,1,214,2161345
2019,10,118,84,2161219
2019,10,23,118,2161129
2019,10,109,172,2161089
2019,10,204,109,2161029
2019,10,99,84,2160962
2019,10,251,245,2160882
2019,10,84,99,2160871
2019,10,251,156,2160725
2019,10,115,214,2160634
2019,10,84,5,2160364
2019,6,171,107,2138853
2019,6,123,227,2095453
2019,10,115,109,2076651
2019,10,5,118,2076333
2019,10,187,84,2076202
2019,10,251,23,2076110
2019,10,109,214,2076041
2019,10,172,23,2075602
2019,10,84,1,2075595
2019,10,214,187,2075449
2019,10,44,1,2075321
2019,10,23,221,2075295
2019,10,5,214,2075230
2019,10,109,115,2075119
2019,10,156,44,2075070
2019,10,234,156,2075001
2019,10,23,115,2074955
2019,10,156,234,2074875
2019,10,156,172,2074850
2019,10,172,251,2074799
2019,10,204,221,2074753
2019,10,176,44,2074721
2019,10,23,1,2074703
2019,10,84,156,2074649
2019,10,118,214,2074450
2019,10,245,251,2074397
2019,10,176,1,2074137
2019,10,84,204,2074091
2019,10,187,6,2074062
2019,10,156,1,2073714
2019,10,115,23,2073608
2019,6,92,107,2063664
2019,6,228,11,2059308
2019,6,149,170,2055482
2019,6,215,106,2052973
2019,6,258,101,2037891
2019,7,74,182,2034029
2019,10,118,118,1989218
2019,10,44,245,1989177
2019,10,6,176,1989146
2019,10,172,245,1988858
2019,10,176,221,1988740
2019,10,1,5,1988541
2019,10,6,118,1988520
2019,10,99,214,1988482
2019,10,176,6,1988343
2019,10,172,84,1988225
2019,10,204,118,1988149
2019,10,118,23,1987921
2019,10,44,5,1987899
2019,10,5,44,1987784
2019,10,109,204,1987706
2019,10,214,214,1987684
2019,10,118,115,1987207
2019,6,171,75,1977770
2019,6,82,75,1976648
2019,6,77,19,1975884
2019,6,129,107,1974809
2019,6,193,75,1970146
2019,6,205,86,1965785
2019,6,131,226,1963994
2019,6,160,83,1954950
2019,6,215,101,1952363
2019,6,171,137,1951163
2019,6,38,129,1941918
2019,6,258,121,1939854
2019,6,192,131,1934901
2019,10,206,109,1902514
2019,10,204,245,1902474
2019,10,84,176,1902465
2019,10,204,156,1902000
2019,10,214,251,1901867
2019,10,156,23,1901850
2019,10,214,221,1901394
2019,10,5,99,1901293
2019,6,122,10,1898413
2019,6,67,227,1894063
2019,6,139,75,1885781
2019,6,63,129,1863473
2019,6,53,216,1861375
2019,6,160,143,1803048
2019,6,179,231,1800127
2019,6,21,227,1797266
2019,6,121,101,1796250
2019,6,14,227,1760159
2019,10,84,245,1730496
2019,10,176,84,1729167
2019,10,156,251,1728641
2019,6,11,227,1728336
2019,10,251,115,1728286
2019,6,11,228,1727911
2019,6,122,19,1727295
2019,6,14,11,1720954
2019,6,260,107,1711845
2019,6,92,137,1709603
2019,6,121,234,1696947
2019,6,14,228,1696605
2019,6,171,102,1693582
2019,6,107,171,1648056
2019,10,187,44,1645543
2019,10,206,44,1645005
2019,10,44,187,1644596
2019,10,1,251,1644253
2019,10,6,204,1644200
2019,10,176,156,1643834
2019,10,5,172,1643743
2019,10,221,84,1643509
2019,10,84,118,1643465
2019,10,156,118,1643378
2019,10,172,5,1643277
2019,10,156,176,1643149
2019,10,204,6,1643030
2019,10,84,172,1642932
2019,10,204,187,1642855
2019,10,156,5,1642644
2019,10,6,172,1642441
2019,10,187,251,1642350
2019,10,115,251,1642225
2019,10,156,84,1641680
2019,10,156,115,1641660
2019,6,73,102,1632981
2019,6,171,141,1614082
2019,6,192,121,1578741
2019,6,101,121,1572195
2019,10,84,187,1558304
2019,6,227,67,1558035
2019,10,245,109,1557940
2019,10,245,172,1557577
2019,10,109,245,1557272
2019,10,156,206,1557190
2019,10,206,172,1557167
2019,6,83,160,1557119
2019,10,5,156,1556117
2019,10,204,5,1555534
2019,10,99,99,1555209
2019,6,130,218,1543285
2019,6,95,75,1541043
2019,6,80,61,1540465
2019,6,130,131,1537649
2019,6,131,197,1529738
2019,6,10,122,1528062
2019,6,56,107,1526491
2019,6,227,123,1524050
2019,6,107,129,1516289
2019,6,227,227,1508688
2019,6,106,215,1489634
2019,6,205,101,1479410
2019,6,179,148,1473852
2019,10,251,1,1470932
2019,10,23,84,1469614
2019,10,214,115,1469491
2019,6,173,140,1458661
2019,6,227,21,1455755
2019,6,226,131,1454893
2019,6,75,193,1446605
2019,6,143,160,1441889
2019,6,131,192,1427717
2019,6,216,130,1417072
2019,6,260,131,1402892
2019,6,56,45,1398886
2019,6,216,131,1391165
2019,6,121,258,1388068
2019,6,101,215,1387074
2019,10,245,44,1385496
